Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hong Kong West Cluster,HKWC-T024/20(P-QMH),"Supply and Installation of Lights, Surgical for Redevelopment  Project, Queen Mary Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Sonne Technology International Limited  Rm 1-3, 5, 29/F, The Octagon, 6 Sha Tsui Road, Tsuen Wan, New Territories,  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD12.58Mn,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Danone Nutricia Early Life Nutrition (HK) Limited 33/F., Lee & Man Commercial Centre, 169 Electric Road, North Point,  Hong Kong",Group 1,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"DKSH Hong Kong Limited  23/F., Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",Group 1 & 4,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"FrieslandCampina (Hong Kong) Limited Unit  1801-03, 05-09 & 19-20 18/F., Tower 2, Grand Century Place 193 Prince  Edward Road West Mongkok, Kowloon, Hong Kong","Group 1 ,2 & 3",1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"KerryFlex Supply Chain Solution Limited  2/F., Block A, Kerry TC Warehouse 1 3 Kin Chuen Street Kwai Chung, New  Territories, Hong Kong",Group 1,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Nestle Hong Kong Limited  18 Wang Lok Street, Yuen Long Industrial Estate New Territories, Hong Kong",Group 1,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Snow Brand Hong Kong Company Limited  Unit C-D, 7/F., China Overseas Building, 139 Hennessy Road, Wanchai, Hong  Kong",Group 1 & 2,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Wyeth (Hong Kong) Holding Company Limited  42/F., Manhattan Place, 23 Wang Tai Road, Kowloon Bay, Hong Kong",Group 1,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Yau Cheong Ho Provisions Ltd Unit 311-312, 3/F., Cardinal Ind Bldg, 17 On Lok Mun Street, On Lok Tsuen,  Fanling, New Territories, Hong Kong",Group 2,1 December 2024 - 30 November 2028,,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/21-G055,Supply of Milk Formulae for Hospital Authority,Open,"Zuellig Pharma Limited 5/F., Berkshire House, Taikoo Place, 25  Westlands Road, Quarry Bay, Hong Kong",Group 1,1 December 2024 - 30 November 2028,,31-May-2024
Hong Kong West Cluster,HKWC-T009/23(P-QMH),"Supply and Installation of Facility Booms, Ceiling-Mounted for  Post Anesthesia Care Unit (PACU) of Redevelopment Project of Queen Mary  Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Draeger Hong Kong Limited  Room 1701-02, 17/F, APEC Plaza  49 Hoi Yuen Road  Kwun Tong, Kowloon  Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD1.62Mn,31-May-2024
Hong Kong West Cluster,HKWC-T001/21(P-QMH),"Supply and Installation of Scanning Systems, Magnetic Resonance  Imaging, Full-Body and Provision of Maintenance Service for Redevelopment  Project of Queen Mary Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Siemens Healthcare Limited  Units 901 – 903, & 908B, 9/F, Tower B, Manulife Financial Centre, 223 –  231 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD56.79Mn,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/23-G011,Supply of Biological Indicators for Hospital Authority,Limited  (Absence of competition for technical reasons),"3M Hong Kong Limited 38/F., Manhattan Place  23 Wang Tai Road  Kowloon Bay  Hong Kong",-,1 July 2024 – 30 June 2027,HKD11.80Mn,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/23-G002,Supply of Surgical Gloves for Hospital Authority,Open,"Shun On Healthcare Limited  Suites 2204-6, 22/F, AIA Kowloon Tower, Landmark East, 100 How Ming Street,  Kwun Tong, Kowloon, Hong Kong",-,1 July 2024 - 30 June 2027,HKD53.21Mn,31-May-2024
Hospital Authority Head Office,HAHO(S)/T/22-G024,Supply of Zip Lock Plastic Bags for Pharmaceutical Use for Hospital Authority,Open,"HKBN JOS Limited  Room 1123, 11/F, KITEC, 1 Trademart Drive, Kowloon Bay, Hong Kong",-,1 August 2024 - 31 July 2027,HKD13.78Mn,31-May-2024
New Territories East Cluster,NTEC/P&MM/T3/2324-T2,"Provision of Security and Carpark Management Services for North  District Hospital and Cheshire Home, Shatin, New Territories East Cluster,  Hospital Authority",Open,"Alliance Security Limited  G/F, No. 12B, Hok Yuen Street, Hung Hom, Kowloon, Hong Kong",,7 June 2024 - 6 June 2027,HKD33.81Mn,2-April-2024
Hospital Authority Head Office,DST23-033,Heparinised Saline (Preservative Free) Injection 10U/ml 5ml,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong",-,19 April 2024 - 18 April 2025,HKD3.20Mn,2-April-2024
Hong Kong West Cluster,HKWC-T016/23(P-QMH),"Supply and Installation of Stereotactic Systems, Image-Guided,  Cardiac Mapping/Ablation, Radiofrequency for Redevelopment of Queen Mary  Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Johnson & Johnson H.K. Limited  13/F, Tower 1, Grand Century Place,  193 Prince Edward Road West,  Mongkok, Kowloon",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD2.68Mn,3-April-2024
Hong Kong West Cluster,HKWC-T057/22(P-QMH),"Supply and Installation of Digitizers, Laboratory Slide for  Redevelopment of Queen Mary Hospital, Hong Kong West Cluster, Hospital  Authority",Open,"Bio-Gene Technology Limited  Unit 16-18, 20/F,  Grandtech Centre, 8 On Ping Street  Shatin, New Territories",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD1.850Mn,3-April-2024
Kowloon Central Cluster,KCC/QB/AH6/535/23/WTS,"Provision of Rehabilitation Shop Service for TWGHs Wong Tai Sin  Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Wah Hong Convenience Store Limited  Rm A101, 1/F, A1 HKSR Lam Tin Complex 7 Rehab Path, Lam Tin  Kln, Hong Kong",,1 July 2024 - 30 June 2029,HKD0.06Mn,3-April-2024
New Territories West Cluster,NWT01323,"Provision of Various Fixed Transportation Route Services for New  Territories West Cluster, Hospital Authority",Open,"Lison Transportation Company Limited  Room 1905, Westley Square, 48 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong","Group 1, 3, 4, 5 and 6",19 April 2024 - 18 April 2025,HKD1.20Mn,5-April-2024
New Territories West Cluster,NWT01323,"Provision of Various Fixed Transportation Route Services for New  Territories West Cluster, Hospital Authority",Open,"Leung Kow Kee Transportation Company Limited  Room 1301-2, 13/F, Win Century Centre, 2A Mongkok Road, Mongkok, Kowloon",Group 2,19 April 2024 - 18 April 2025,HKD1.80Mn,5-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-G001,Supply of Polypropylene Sharps Box for Hospital Authority,Open,"Alleva Medical Limited  Suite M-Q, 12/F, Kings Wing Plaza 2  1 On Kwan Street  Shatin, New Territories",-,1 July 2024 - 30 June 2027,HKD21.00Mn,8-April-2024
Kowloon Central Cluster,KCC/T/H7/037/23/KWH,"Supply and Installation of Cabinet, Storage, Intravenous Fluid  for Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Wing Shun Engineering Co. Flat B2, 14/F, Block 2,  Tai Ping Industrial Centre,  55 Ting Kok Rd, Tai Po, N.T.  HK",-,With effect from the date of contract award until fulfilment of  the contractual obligations,HKD0.78Mn,9-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-S010,"Provision of Maintenance Service for Analgesia Units, Inhalation  and Receiving Units of Anaesthetic Gas Scavenging System for Hospital  Authority",Open,"Linde HKO Ltd  18 Dai Shing Street, Tai Po Industrial Estate, Tai Po, NT., Hong Kong",-,1 June 2024 - 31 May 2027,HKD1.32Mn,9-April-2024
Hospital Authority Head Office,HAHO(S)/T/22-D228,Supply of Lisinopril Tablet 5mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",Half Quantity (a),21 August 2024  - 20 August 2027,HKD5.67Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/22-D228,Supply of Lisinopril Tablet 5mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",Half Quantity (b),21 August 2024  - 20 August 2027,HKD5.70Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D122,Supply of Magnesium Trisilicate Mixture,Open,"Pharmason Company Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,15 September 2024  - 14 September 2027,HKD13.30Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D126,Supply of Spironolactone Tablet 25mg,Open,"Pharmason Company Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,16 August 2024  - 15 August 2027,HKD7.59Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D134,Supply of Propranolol Hydrochloride Oral Solution 5mg/5ml,Open,"Pharmason Company Limited  16/F, Ever Gain Centre, 28 On Muk Street, Shatin, Hong Kong",-,27 August 2024  - 26 August 2027,HKD6.46Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D139,Supply of Esmolol Hydrochloride Injection 100mg,Open,"Baxter Healthcare Limited  Flat/Rm 2701-3 27/F, Oxford House, Taikoo Place, 979 King's Road, Island  East, Hong Kong",-,24 June 2024  - 23 June 2027,HKD14.21Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D175,Supply of Mepolizumab Prefilled Pen 100mg,Limited  (Absence of competition for technical reasons),"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway, 9 Canton Road, Tsimshatsui, Hong Kong",-,3 June 2024  - 2 June 2027,HKD37.19Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D194,Supply of Macitentan Tablet 10mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1, 202-210 Tai Lin Pai Road, Kwai Chung, Hong Kong",-,24 June 2024  - 23 June 2027,HKD156.64Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/21-D251,Supply of Imatinib Capsule/Tablet 100mg,Open,"I&C (Hong Kong) Limited Unit J, 10/F, World Tech Centre  95 How Ming Street  Kwun Tong, Kowloon",-,1 November 2024 -31 October 2027,HKD5.69Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D013,Supply of Valganciclovir Hydrochloride Solution 50mg per ml,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,1 September 2024  -31 August 2027,HKD6.10Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D048,Supply of Indocyanine Green for Injection 25mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,30 July 2024 - 29 July 2027,HKD10.26Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D051,Supply of BCG Preparation for Intravesical Instillation,Open,"Main Life Corp., Limited 9/F., Winning Centre  46-48 Wyndham Street  Central, Hong Kong",-,17 July 2024 - 16 July 2027,HKD15.57Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D053,Supply of Tretinoin Capsule 10mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,22 June 2024  -21 June 2027,HKD4.63Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D158,Supply of Nivolumab Infusions,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,25 July 2024  -24 July 2027,HKD319.52Mn,11-April-2024
Hospital Authority Head Office,DSQ23-149,Supply of Trastuzumab (Herzuma) Infusion 150mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 May 2024  -30 April 2026,HKD5.93Mn,11-April-2024
Hospital Authority Head Office,DSQ23-156,Supply of Talazoparib (Tosylate) Capsule 1mg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,9 June 2024  -8 June 2026,HKD2.25Mn,11-April-2024
Hospital Authority Head Office,DSQ23-157,Supply of Adenosine Injection 3mg/ml 10ml,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,15 June 2024  -14 June 2026,HKD2.29Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/22-D254,Supply of Gliclazide Modified Release Tablet 30mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,6 December 2024  - 5 December 2027,HKD17.64Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D063,Supply of Bupropion Hydrochloride Extended Release Tablet 150mg,Open,"GlaxoSmithKline Limited  23/F, Tower 6, The Gateway,  9 Canton Road, Tsim Sha Tsui,  Kowloon, Hong Kong",-,18 July 2024  - 17 July 2027,HKD31.45Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D076,Supply of Botulinum Toxin Type A for Injection (Botox) 100U,Limited  (Absence of competition for technical reasons),"DKSH Hong Kong Limited  23/F, Tower A, Southmark,  11 Yip Hing Street,  Wong Chuk Hang, Hong Kon,g",-,18 June 2024  - 17 June 2027,HKD24.75Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D192,Supply of Vildagliptin Tablet 50mg,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place,  25 Westlands Road,  Quarry Bay, Hong Kong",-,26 May 2024  - 25 May 2025,HKD23.67Mn,11-April-2024
Hospital Authority Head Office,DST23-029,Supply of Trifluoperazine (HCl) Tablet 5mg,Open,"Hind Wing Company Limited  Unit B 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,18 July 2024  - 17 July 2025,HKD2.88Mn,11-April-2024
Kowloon Central Cluster,KCC/T/H11/060/23/KWH,"Supply and Installation of Image Processors, Video, Endoscopy  for Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Selective,"Karl Storz Endoscopy China Limited  25/F, AXA Tower, 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD2.30Mn,12-April-2024
Kowloon Central Cluster,KCC/T/H7/113/22/KWH,"Supply and Installation of Chairs, Patient Recovery for Kwong Wah Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"International Medical Engineering Company Limited Flat H, 6/F, Block 2, Wah Fung Industrial Building, 33-39 Kwai Fung Crescent  Kwai Fong, N.T.",-,With effect from the date of contract award until fulfilment of  the contractual obligations,HKD2.56Mn,16-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D094,Supply of Hypromellose Eye Drops,Open,"Pharmason Company Limited  16/F, Ever Gain Centre,  28 On Muk Street,  Shatin, Hong Kong",-,26 July 2024  - 25 July 2027,HKD51.73Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-D111,Supply of Omegaven Injection,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,  Hong Kong",-,7 August 2024  - 6 August 2027,HKD4.52Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-D119,Supply of Ferric (Carboxymaltose) Injection 500mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,  Hong Kong",-,7 May 2024  - 6 May 2027,HKD29.81Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-D154,Supply of Combined Adsorbed Diphtheria/Tetanus/Acellular  Pertussis/Inactivated Poliomyelitis Vaccine,Open,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,  Hong Kong",-,14 September 2024  - 13 September 2027,HKD36.30Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-S024,Provision of Testing Service on Chinese Medicines,Open,"Castco Testing Centre Limited 29A, On Chuen Street,  On Lok Tsuen, Fanling  N.T., Hong Kong",Schedule 3A: Group A1 to A2,1 April 2024  - 31 March 2025,HKD0.91Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-S024,Provision of Testing Service on Chinese Medicines,Open,"The Chinese University of Hong Kong School of Chinese Medicine  The Chinese University of Hong Kong Shatin, N.T.","Schedule 3B: Group B10, Group B21, Group B76  Schedule 3C: Group C3",1 April 2024  - 31 March 2025,HKD0.37Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-S024,Provision of Testing Service on Chinese Medicines,Open,"Hong Kong Authentication Centre of Valuable Chinese Medicines  Limited  R11, 6/F,  Hong Kong Science Park,  Shatin, N.T.","Schedule 3B: Group B1 to B9, Group B11 to B20, Group B22 to B75,  Group B77 to B81  Schedule 3C: Group C1 to C2",1 April 2024  - 31 March 2025,HKD0.44Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/  23-S024,Provision of Testing Service on Chinese Medicines,Open,"PolyU Technology and Consultancy Company Limited QR603, QRCore,  The Hong Kong Polytechnic University  Hung Hom, Hong Kong",Schedule 3C: Group C4,1 April 2024  - 31 March 2025,HKD0.04Mn,11-April-2024
Hospital Authority Head Office,DSQ23-180,Supply of Normal Immunoglobulin SC Infusion 0.2g/ml 20ml,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay,  Hong Kong",-,8 August 2024  - 7 August 2026,HKD3.58Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D060,Supply of Desmopressin Acetate Injection 4mcg,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited - Universal Division  Area B, 11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,1 December 2024 - 30 November 2027,HKD5.46Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-D059,Supply of Potassium Permanganate Solution 4%,Open,"Pharmason Company Limited Flat A, B and C1, 16/F, Ever Gain Centre  28 On Muk Street  Sha Tin, New Territories",-,20 November 2024 - 19 November 2027,HKD11.62Mn,11-April-2024
Hospital Authority Head Office,HAHO(S)/T/22-D197,Supply of Micafungin Sodium for Injection 50mg,Open,"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,5 October 2024  - 4 october 2027,HKD62.23Mn,11-April-2024
Kowloon Central Cluster,KCC/T/FF/016/22/KC,"Supply and Installation of Scanning Systems, Computed  Tomography, Spiral and Provision of Maintenance Services for New Acute  Hospital at Kai Tak Development Area, Kowloon Central Cluster, Hospital Authority",Open,"Canon Medical Systems Hong Kong Ltd.  Room 808, Block 1, 8/F  The Gateway Harbour City  Tsim Sha Shui, Kowloon",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD21.7Mn,17-April-2024
Kowloon Central Cluster,KCC/T/FF/028/22/KC,"Supply and Installation of Radiographic Systems, Digital and  Provision of Maintenance Service for New Acute Hospital, Kowloon Central  Cluster Hospital Authority",Open,"Carestream Health H.K. Ltd  22/F, Siu On Plaza, 482 Jaffe Road,  Causeway Bay, Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD9.8Mn,17-April-2024
Kowloon Central Cluster,KCC/T/FF/026/22/KC,"Supply and Installation of Scanning Systems, Computed  Tomography/Single Photon Computed Tomography for New Acute Hospital, Kowloon  Central Cluster, Hospital Authority",Open,"GE Medical Systems HK Ltd.  801, 8/F, Lee Garden One,  33 Hysan Avenue, Causeway Bay, Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD16.96Mn,17-April-2024
Kowloon West Cluster,KWC/N/004-23,"Provision of Laundry Services for Central Laundry of Hospital  Authority Supporting Services Centre, Hospital Authority",Open,"Tin Fung Laundry Company Limited  No. 30, Ng Chow South Road  Ping Che, Fanling, N.T.",-,1 September 2024 - 31 August 2027,HKD199.40Mn,18-April-2024
New  Territories West Cluster,NWT00623,"Provision of Agency  Registered Nurses, Enrolled Nurses and Health Care Assistants to Hospitals  of  New Territories West Cluster, Hospital Authority",Open,"Quality Healthcare Nursing  Agency Limited  3/F, Skyline Tower,  39 Wang Kwong Road,  Kowloon Bay, KLN",Group A and Group B,16 May 2024 - 15 May 2026,HKD32.66Mn,18-April-2024
New  Territories West Cluster,NWT00623,"Provision of Agency  Registered Nurses, Enrolled Nurses and Health Care Assistants to Hospitals  of  New Territories West Cluster, Hospital Authority",Open,"Evercare Health  Limited  Room 1301 & 1303, 13/F Leighton Centre,  77 Leighton Road, Causeway Bay,  Hong Kong",Group A and Group B,16 May 2024 - 15 May 2026,HKD32.23Mn,18-April-2024
New  Territories West Cluster,NWT00623,"Provision of Agency  Registered Nurses, Enrolled Nurses and Health Care Assistants to Hospitals  of  New Territories West Cluster, Hospital Authority",Open,"Bamboos Professional Nursing  Services Limited  Rm 204, 2/F, Wing On Plaza  62 Mody Road, Tsim Sha Tsui,  Kowloon, Hong Kong",Group A,16 May 2024 - 15 May 2026,HKD23.61Mn,18-April-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/004/2324,"Tender for Leasing of Off-site Store for Procurement and  Materials Management Department of United Christian Hospital, Kowloon East  Cluster, Hospital Authority",Open,"Rockwell Group Limited  3/F of Hoepwell Logistics Centre, 2-12 Wing Kei Road, Kwai Chung",-,1 July 2024 - 30 June 2027 &  15 July 2024 - 14 July 2027,HKD13.09Mn,19-April-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/005/2324,"Tender for the Provision of Convenience Store Service for United  Christian Hospital, Kowloon East Cluster, Hospital Authority",Open,"Circle K Convenience Stores (HK) Limited  15/F, Li Fung Centre, 2 On Ping Street, Siu Lek Yuen, Shatin",-,1 June 2024  - 31 May 2027,HKD10.26Mn,19-April-2024
Kowloon Central Cluster,KCC/T/H6/062/23/BTS,"Supply of Processing Kits for Photoactivation Units, Blood for  Hong Kong Red Cross Blood Transfusion Service, Kowloon Central Cluster,  Hospital Authority",Limited  (Absence of competition for technical reasons),"Cerus Corporation 1220 Concord Avenue, Concord, CA 94520  United States",,60 months with effect from 19 April 2024 to 18 April 2029,"US907,200.00",19-April-2024
Kowloon Central Cluster,KCC/T/H12/106/22/KC,"Supply and Installation of Outpatient Pharmacy Automation System  and Provision of Post-Warranty Maintenance Services for New Acute Hospital at  Kai Tak Development Area, Kowloon Central Cluster  Hospital Authority",Open,"Hong Kong Logistics Technology and Systems Limited  8/F, 163 Hoi Bun Road  Kwun Tong, Kowloon  Hong Kong",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD75.02Mn,19-April-2024
New Territories East Cluster,NTEC/P&MM/T6/CBV2324-18654-T001,"Supply & Installation of Radiotherapy Systems, Linear  Accelerator for Prince of Wales Hospital, New Territories East Cluster,  Hospital Authority",Open,"Varian Medical Systems, Inc. Room 1402-07, Tower 1, The Gateway, Harbour City, 25 Canton Road, Tsimshatsui, Kowloon, Hong Kong",,22 April 2024 - 21 April 2025,HKD26.3Mn,22-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-S023,Provision of Consultancy Services on Contract Management of  Commercial-Sponsored Clinical Studies to the Hospital Authority,Open,"The University of Hong Kong Clinical Trials Centre (China)  Limited  2B, Kennedy Town Commercial Centre, 23 Belcher’s Street, Kennedy Town, Hong  Kong",-,2 May 2024  - 1 May 2026,HKD5.38Mn,22-April-2024
Hospital Authority Head Office,HAHO(S)/T/23-S019,Provision of Histopathology Diagnostic Service  under the Public-Private Partnership Programme  for the Hospital Authority,Open,"iPath Laboratory Limited  Clinical Laboratory and Pathology, 1/F Hong Kong Adventist Hospital – Tsuen  Wan, 199 Tsuen King Circuit, Tsuen Wan, New Territories",-,1 November  2024  - 31 October 2026,HKD2.70Mn,23-April-2024
Kowloon Central Cluster,KCC/T/03/013/21/HCH,"Tender for Supply and Installation of Fully Automated, Cell  Selection, Depletion System, and Provision of 7-year Reagents and 6-year Post  Warranty Maintenance Service for Hong Kong Children's Hospital",Limited  (Absence of competition for technical reasons),"Miltenyi Biotec Hong Kong Limited  Unit 301, Lakeside 1,  No. 8 Science Park West Avenue,  Hong Kong Science Park,  Pak Shek Kok, NT",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD59.35Mn,26-April-2024
Hospital Authority Head Office,HAHO(S)/T/21-D154,Supply of Haloperidol Oral Solution 2mg/ml,Open,"Hind Wing Company Limited  Unit B 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,10 January 2025  - 9 January 2028,HKD3.08Mn,26-April-2024
Hospital Authority Head Office,HAHO(S)/T/22-S057,Tender for Main Works Package 2 (Stage 1) for the New Acute  Block of Expansion of North District Hospital,Selective,"NDH Joint Venture  39/F, Sun Hung Kai Centre,  30 Harbour Road, Hong Kong",-,With effect from the works commencement tentatively in 3Q/4Q  2024 to the satisfactory completion of the Contract,"Approx. HKD22,000.00Mn",29-April-2024
Hong Kong West Cluster,HKWC-T028/21(P-QMH),"Supply and Installation of Shelving System, Storage &  Display, Mobile for CSSD, Redevelopment of QMH, Hong Kong West Cluster,  Hospital Authority",Open,"A R Medicom Inc (Asia) Ltd Suite 11, 11/F, Kodak House II,  39 Healthy Street East,  North Point, HK",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD1.13Mn,29-April-2024
Kowloon Central Cluster,KCC/T/H14/065/22/KC,"Supply and Installation of Scanning Systems, Computed  Tomography, Spiral and Provision of Maintenance Services for New Acute  Hospital at Kai Tak Development Area, Kowloon Central Cluster, Hospital  Authority",Open,"Siemens Healthcare Limited  Units 901-903 & 908B, Block B, 9/F, Manulife Financial Centre, 223-231  Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",-,29 April 2024  - 28 April 2036,HKD39.06Mn,29-April-2024
